lon lat stid
5.32 60.40 01117
10.85 59.67 82260
12.43 65.83 76530
14.47 67.28 82260
18.93 69.67 90400
10.87 60.70 01381
9.07 61.12 01371
8.52 58.33 01464
5.68 58.78 01413
5.05 61.30 56420
10.87 63.50 01270
11.950 78.933 01007
26.63 67.37 02836
23.501 60.814 02963
-1.183 60.133 03005
5.320 60.400 01317
14.117 52.217 10393
-5.317 50.217 00000
24.04 76.3 01062
-8.6666667 70.933333 01001
19.01666667 74.5166667 02028
3.20 56.50 01400
20.4175 67.8472 02045
19.5147 59.4481 02492
16.1500 58.5800 02071

# Jan Mayen 99950 -> 01001
# Bjørnøya 99710 -> 01028
# Hopen 99720 -> 01062
# Ekofisk 76920 -> 01400
# Særheim 44300 -> 01413
# Landvik 38140 -> 01464
# Apelsvoll 11500 -> 01381
# Tjøtta 76530 -> 01117
# Løken 23500 -> 01371
# Kvithamar 69150 -> 01270
# Sodankylä 7501 -> 02836
# Jokioinen 1201 -> 02963
